count,dis,dis_label
14,http://purl.obolibrary.org/obo/MONDO_0007542,Camurati-Engelmann disease
154,http://purl.obolibrary.org/obo/MONDO_0015452,Coffin-Siris syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007635,Frasier syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007646,Gamstorp-Wohlfart syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007669,renal cysts and diabetes syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007670,hypotrichosis-lymphedema-telangiectasia syndrome (grouping)
42,http://purl.obolibrary.org/obo/MONDO_0100216,DICER1-related tumor predisposition
14,http://purl.obolibrary.org/obo/MONDO_0007686,gray platelet syndrome
14,http://purl.obolibrary.org/obo/MONDO_0016218,Guillain-Barre syndrome
28,http://purl.obolibrary.org/obo/MONDO_0007716,alpha thalassemia-intellectual disability syndrome type 1
938,http://purl.obolibrary.org/obo/MONDO_0016296,holoprosencephaly
14,http://purl.obolibrary.org/obo/MONDO_0007797,hypoparathyroidism-deafness-renal disease syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007804,Pallister-Hall syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007838,Jacobsen syndrome
28,http://purl.obolibrary.org/obo/MONDO_0016512,Kabuki syndrome
294,http://purl.obolibrary.org/obo/MONDO_0018800,Kallmann syndrome
28,http://purl.obolibrary.org/obo/MONDO_0007853,palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007856,palmoplantar keratoderma-esophageal carcinoma syndrome
168,http://purl.obolibrary.org/obo/MONDO_0018094,Waardenburg syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007863,Kleine-Levin syndrome
28,http://purl.obolibrary.org/obo/MONDO_0007864,angioosteohypertrophic syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007892,Lenz-Majewski hyperostotic dwarfism
42,http://purl.obolibrary.org/obo/MONDO_0007893,Noonan syndrome with multiple lentigines
14,http://purl.obolibrary.org/obo/MONDO_0007918,"microcephaly with or without chorioretinopathy, lymphedema, or intellectual disability"
14,http://purl.obolibrary.org/obo/MONDO_0007922,lymphedema-distichiasis syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009276,Bernard-Soulier syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007943,Nager acrofacial dysostosis
28,http://purl.obolibrary.org/obo/MONDO_0007947,Marfan syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007982,"metaphyseal chondrodysplasia, Jansen type"
14,http://purl.obolibrary.org/obo/MONDO_0007983,Schmid metaphyseal chondrodysplasia
14,http://purl.obolibrary.org/obo/MONDO_0007984,metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome
28,http://purl.obolibrary.org/obo/MONDO_0008006,Mobius syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008061,nail-patella syndrome
210,http://purl.obolibrary.org/obo/MONDO_0018997,Noonan syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008113,Schilbach-Rott syndrome
28,http://purl.obolibrary.org/obo/MONDO_0015267,Feingold syndrome
42,http://purl.obolibrary.org/obo/MONDO_0016620,primary hypertrophic osteoarthropathy
140,http://purl.obolibrary.org/obo/MONDO_0016120,myotonic syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008201,Perry syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008287,Greig cephalopolysyndactyly syndrome
238,http://purl.obolibrary.org/obo/MONDO_0008300,Prader-Willi syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008301,Guttmacher syndrome
28,http://purl.obolibrary.org/obo/MONDO_0008310,Hutchinson-Gilford progeria syndrome
42,http://purl.obolibrary.org/obo/MONDO_0008323,Liddle syndrome
28,http://purl.obolibrary.org/obo/MONDO_0019187,Axenfeld-Rieger syndrome
84,http://purl.obolibrary.org/obo/MONDO_0019978,Robinow syndrome
28,http://purl.obolibrary.org/obo/MONDO_0008392,Roussy-Levy syndrome
70,http://purl.obolibrary.org/obo/MONDO_0008394,Silver-Russell syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008397,aplasia of lacrimal and salivary glands
14,http://purl.obolibrary.org/obo/MONDO_0008411,ulnar-mammary syndrome
98,http://purl.obolibrary.org/obo/MONDO_0008428,septooptic dysplasia
56,http://purl.obolibrary.org/obo/MONDO_0017923,multiple synostoses syndrome
14,http://purl.obolibrary.org/obo/MONDO_0100520,NKX2-1 related choreoathetosis and congenital hypothyroidism with or without pulmonary dysfunction
56,http://purl.obolibrary.org/obo/MONDO_0008585,HELLP syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008642,VACTERL/vater association
28,http://purl.obolibrary.org/obo/MONDO_0008675,Freeman-Sheldon syndrome
252,http://purl.obolibrary.org/obo/MONDO_0008678,Williams syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008682,Denys-Drash syndrome
84,http://purl.obolibrary.org/obo/MONDO_0008684,Wolf-Hirschhorn syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008693,ablepharon macrostomia syndrome
28,http://purl.obolibrary.org/obo/MONDO_0008708,acrocallosal syndrome
42,http://purl.obolibrary.org/obo/MONDO_0008756,alopecia - intellectual disability syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008758,mitochondrial DNA depletion syndrome 4a
14,http://purl.obolibrary.org/obo/MONDO_0008763,Alstrom syndrome
28,http://purl.obolibrary.org/obo/MONDO_0008795,aniridia-cerebellar ataxia-intellectual disability syndrome
336,http://purl.obolibrary.org/obo/MONDO_0016073,syndromic microphthalmia
504,http://purl.obolibrary.org/obo/MONDO_0015905,syndromic dyslipidemia
28,http://purl.obolibrary.org/obo/MONDO_0017123,arthrogryposis-renal dysfunction-cholestasis syndrome
140,http://purl.obolibrary.org/obo/MONDO_0008824,fetal akinesia deformation sequence
294,http://purl.obolibrary.org/obo/MONDO_0018677,visceral heterotaxy
364,http://purl.obolibrary.org/obo/MONDO_0015229,Bardet-Biedl syndrome
224,http://purl.obolibrary.org/obo/MONDO_0019342,Seckel syndrome
14,http://purl.obolibrary.org/obo/MONDO_0016994,microcephalic osteodysplastic primordial dwarfism types I and III
28,http://purl.obolibrary.org/obo/MONDO_0100558,RNU4ATAC spectrum disorder
14,http://purl.obolibrary.org/obo/MONDO_0008876,Bloom syndrome
14,http://purl.obolibrary.org/obo/MONDO_0008885,Elsahy-Waters syndrome
126,http://purl.obolibrary.org/obo/MONDO_0015762,progressive familial intrahepatic cholestasis
14,http://purl.obolibrary.org/obo/MONDO_0008927,colobomatous optic disc-macular atrophy-chorioretinopathy syndrome
602,http://purl.obolibrary.org/obo/MONDO_0018772,Joubert syndrome
224,http://purl.obolibrary.org/obo/MONDO_0017305,syndromic oculocutaneous albinism
28,http://purl.obolibrary.org/obo/MONDO_0008965,CHARGE syndrome
770,http://purl.obolibrary.org/obo/MONDO_0016575,primary ciliary dyskinesia
28,http://purl.obolibrary.org/obo/MONDO_0008995,Yunis-Varon syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009015,corneal dystrophy-perceptive deafness syndrome
532,http://purl.obolibrary.org/obo/MONDO_0015461,short rib-polydactyly syndrome
28,http://purl.obolibrary.org/obo/MONDO_0009044,Crigler-Najjar syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009046,Fraser syndrome
28,http://purl.obolibrary.org/obo/MONDO_0009067,cystinuria
28,http://purl.obolibrary.org/obo/MONDO_0009079,DOORS syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009082,high myopia-sensorineural deafness syndrome
28,http://purl.obolibrary.org/obo/MONDO_0018105,Wolfram syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009130,Dyggve-Melchior-Clausen disease
70,http://purl.obolibrary.org/obo/MONDO_0009133,"cerebellar ataxia, intellectual disability, and dysequilibrium"
98,http://purl.obolibrary.org/obo/MONDO_0016817,Meier-Gorlin syndrome
