count,dis,dis_label
1004,http://purl.obolibrary.org/obo/MONDO_0008727,congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
1129,http://purl.obolibrary.org/obo/MONDO_0008728,classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
901,http://purl.obolibrary.org/obo/MONDO_0008729,congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
825,http://purl.obolibrary.org/obo/MONDO_0008730,congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
368,http://purl.obolibrary.org/obo/MONDO_0010069,spondylocostal dysostosis-anal and genitourinary malformations syndrome
584,http://purl.obolibrary.org/obo/MONDO_1060211,NR5A1-related sex development disorder
1850,http://purl.obolibrary.org/obo/MONDO_0013310,congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency
787,http://purl.obolibrary.org/obo/MONDO_0013722,hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism
700,http://purl.obolibrary.org/obo/MONDO_0014148,estrogen resistance syndrome
1011,http://purl.obolibrary.org/obo/MONDO_0014686,"short stature, microcephaly, and endocrine dysfunction"
289,http://purl.obolibrary.org/obo/MONDO_0016012,diethylstilbestrol syndrome
494,http://purl.obolibrary.org/obo/MONDO_0000110,bifid nose
962,http://purl.obolibrary.org/obo/MONDO_0020592,disorder of pharynx
1326,http://purl.obolibrary.org/obo/MONDO_0000587,"autoimmune disease of ear, nose and throat"
801,http://purl.obolibrary.org/obo/MONDO_0002436,nasal disorder
882,http://purl.obolibrary.org/obo/MONDO_0021205,disorder of ear
3336,http://purl.obolibrary.org/obo/MONDO_0018751,hereditary otorhinolaryngologic disease
238,http://purl.obolibrary.org/obo/MONDO_0015070,laryngeal neuroendocrine neoplasm
80,http://purl.obolibrary.org/obo/MONDO_0007170,atresia of external auditory canal and conductive deafness
16,http://purl.obolibrary.org/obo/MONDO_0015476,cysts and fistulae of the face and oral cavity
217,http://purl.obolibrary.org/obo/MONDO_0010920,microtia
263,http://purl.obolibrary.org/obo/MONDO_0007587,external auditory canal atresia-vertical talus-hypertelorism syndrome
179,http://purl.obolibrary.org/obo/MONDO_0007876,laryngeal abductor paralysis
134,http://purl.obolibrary.org/obo/MONDO_0007879,larynx atresia
133,http://purl.obolibrary.org/obo/MONDO_0008180,congenital velopharyngeal incompetence
612,http://purl.obolibrary.org/obo/MONDO_0011340,congenital tracheal stenosis
204,http://purl.obolibrary.org/obo/MONDO_0015237,arrhinia
221,http://purl.obolibrary.org/obo/MONDO_0015317,laryngotracheal angioma
425,http://purl.obolibrary.org/obo/MONDO_0015387,nasolacrimal duct cyst
