dis,dis_label,associations_count,phenotypes_count
http://purl.obolibrary.org/obo/MONDO_0000594,pervasive developmental disorder,28,3328
http://purl.obolibrary.org/obo/MONDO_0000595,sexual disorder,,14
http://purl.obolibrary.org/obo/MONDO_0000598,aphasia,,14
http://purl.obolibrary.org/obo/MONDO_0000602,autoimmune disorder of blood,14,1950
http://purl.obolibrary.org/obo/MONDO_0000603,autoimmune disorder of cardiovascular system,42,554
http://purl.obolibrary.org/obo/MONDO_0000605,hypersensitivity reaction disease,140,8820
http://purl.obolibrary.org/obo/MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma,112,1284
http://purl.obolibrary.org/obo/MONDO_0000608,familial juvenile hyperuricemic nephropathy,42,2664
http://purl.obolibrary.org/obo/MONDO_0000612,lymphatic system cancer,,32
http://purl.obolibrary.org/obo/MONDO_0000620,breast benign neoplasm,,17
http://purl.obolibrary.org/obo/MONDO_0000621,immune system cancer,1316,5662
http://purl.obolibrary.org/obo/MONDO_0000624,benign female reproductive system neoplasm,14,475
http://purl.obolibrary.org/obo/MONDO_0000627,benign endocrine neoplasm,,575
http://purl.obolibrary.org/obo/MONDO_0000628,central nervous system organ benign neoplasm,56,1347
http://purl.obolibrary.org/obo/MONDO_0000629,cardiovascular organ benign neoplasm,140,5060
http://purl.obolibrary.org/obo/MONDO_0000631,bone benign neoplasm,56,2157
http://purl.obolibrary.org/obo/MONDO_0000632,uterine benign neoplasm,,17
http://purl.obolibrary.org/obo/MONDO_0000633,sensory organ benign neoplasm,42,1142
http://purl.obolibrary.org/obo/MONDO_0000634,thoracic benign neoplasm,,17
http://purl.obolibrary.org/obo/MONDO_0000636,musculoskeletal system benign neoplasm,140,6367
http://purl.obolibrary.org/obo/MONDO_0000637,musculoskeletal system cancer,1344,5526
http://purl.obolibrary.org/obo/MONDO_0000640,central nervous system primitive neuroectodermal neoplasm,14,286
http://purl.obolibrary.org/obo/MONDO_0000646,ovarian benign neoplasm,14,458
http://purl.obolibrary.org/obo/MONDO_0000648,nervous system benign neoplasm,112,4269
http://purl.obolibrary.org/obo/MONDO_0000649,sensory system cancer,168,1384
http://purl.obolibrary.org/obo/MONDO_0000652,integumentary system benign neoplasm,322,11715
http://purl.obolibrary.org/obo/MONDO_0000653,integumentary system cancer,210,2117
http://purl.obolibrary.org/obo/MONDO_0000654,benign connective and soft tissue neoplasm,126,6350
http://purl.obolibrary.org/obo/MONDO_0000671,finger agnosia,,14
http://purl.obolibrary.org/obo/MONDO_0000680,astereognosia,,14
http://purl.obolibrary.org/obo/MONDO_0000685,visual agnosia,,42
http://purl.obolibrary.org/obo/MONDO_0000686,alexia without agraphia,,14
http://purl.obolibrary.org/obo/MONDO_0000688,inborn organic aciduria,700,31827
http://purl.obolibrary.org/obo/MONDO_0000693,bipolar II disorder,,16
http://purl.obolibrary.org/obo/MONDO_0000698,gamma-amino butyric acid metabolism disorder,28,1656
http://purl.obolibrary.org/obo/MONDO_0000700,familial hemiplegic migraine,,1026
http://purl.obolibrary.org/obo/MONDO_0000701,ischemic colitis,,14
http://purl.obolibrary.org/obo/MONDO_0000721,xanthinuria,28,697
http://purl.obolibrary.org/obo/MONDO_0000722,non-syndromic synpolydactyly,42,401
http://purl.obolibrary.org/obo/MONDO_0000723,stutter disorder,,17
http://purl.obolibrary.org/obo/MONDO_0000724,specific language impairment,,229
http://purl.obolibrary.org/obo/MONDO_0000726,idiopathic scoliosis,,14
http://purl.obolibrary.org/obo/MONDO_0000727,scapuloperoneal myopathy,28,763
http://purl.obolibrary.org/obo/MONDO_0000728,ptosis,28,92
http://purl.obolibrary.org/obo/MONDO_0000732,combined oxidative phosphorylation deficiency,546,34870
http://purl.obolibrary.org/obo/MONDO_0000733,cornea plana,14,169
http://purl.obolibrary.org/obo/MONDO_0000734,Ohdo syndrome and variants,28,3420
http://purl.obolibrary.org/obo/MONDO_0000736,dyschromatosis universalis hereditaria,14,205
http://purl.obolibrary.org/obo/MONDO_0000743,oral hairy leukoplakia,,14
http://purl.obolibrary.org/obo/MONDO_0000754,anal fistula,,119
http://purl.obolibrary.org/obo/MONDO_0000761,syndrome caused by partial chromosomal deletion,2702,156738
http://purl.obolibrary.org/obo/MONDO_0000762,syndrome caused by partial chromosomal duplication,392,55566
http://purl.obolibrary.org/obo/MONDO_0000763,epithelial and subepithelial corneal dystrophy,56,519
http://purl.obolibrary.org/obo/MONDO_0000764,epithelial-stromal TGFBI dystrophy,84,1329
http://purl.obolibrary.org/obo/MONDO_0000766,corneal endothelial dystrophy,154,1700
http://purl.obolibrary.org/obo/MONDO_0000771,allergic respiratory disease,14,813
http://purl.obolibrary.org/obo/MONDO_0000809,purpura fulminans,,425
http://purl.obolibrary.org/obo/MONDO_0000812,vertebral column disorder,98,2890
http://purl.obolibrary.org/obo/MONDO_0000816,abdominal obesity-metabolic syndrome,14,1213
http://purl.obolibrary.org/obo/MONDO_0000819,anencephaly,42,802
http://purl.obolibrary.org/obo/MONDO_0000820,cerebral cavernous malformation,56,824
http://purl.obolibrary.org/obo/MONDO_0000824,congenital diarrhea,154,3873
http://purl.obolibrary.org/obo/MONDO_0000827,salmonellosis,,599
http://purl.obolibrary.org/obo/MONDO_0000828,juvenile-onset Parkinson disease,28,2140
http://purl.obolibrary.org/obo/MONDO_0000831,thrombotic disease,,1003
http://purl.obolibrary.org/obo/MONDO_0000833,bone remodeling disease,728,33459
http://purl.obolibrary.org/obo/MONDO_0000836,disease of bone structure,,60
http://purl.obolibrary.org/obo/MONDO_0000837,bone resorption disease,56,442
http://purl.obolibrary.org/obo/MONDO_0000845,fibrous dysplasia,28,1054
http://purl.obolibrary.org/obo/MONDO_0000858,neuronal intestinal dysplasia,14,484
http://purl.obolibrary.org/obo/MONDO_0000863,"myopathy, lactic acidosis, and sideroblastic anemia",28,1513
http://purl.obolibrary.org/obo/MONDO_0000875,adult acute monocytic leukemia,,14
http://purl.obolibrary.org/obo/MONDO_0000879,cutaneous candidiasis,,14
http://purl.obolibrary.org/obo/MONDO_0000888,gastrointestinal mucositis,,1385
http://purl.obolibrary.org/obo/MONDO_0000890,Zika virus congenital syndrome,,28
http://purl.obolibrary.org/obo/MONDO_0000902,agenesis of the corpus callosum with peripheral neuropathy,14,1218
http://purl.obolibrary.org/obo/MONDO_0000903,myoclonus-dystonia syndrome,56,804
http://purl.obolibrary.org/obo/MONDO_0000904,complex cortical dysplasia with other brain malformations,42,6725
http://purl.obolibrary.org/obo/MONDO_0000908,arrhythmogenic right ventricular dysplasia 13,,84
http://purl.obolibrary.org/obo/MONDO_0000909,Bartter disease type 4B,,368
http://purl.obolibrary.org/obo/MONDO_0000910,retinitis pigmentosa 6,,116
http://purl.obolibrary.org/obo/MONDO_0000912,autosomal recessive nonsyndromic hearing loss 5,,16
http://purl.obolibrary.org/obo/MONDO_0000913,hereditary spherocytosis type 2,,170
http://purl.obolibrary.org/obo/MONDO_0000914,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1",14,1145
http://purl.obolibrary.org/obo/MONDO_0000916,intestinal infectious disease,,1385
http://purl.obolibrary.org/obo/MONDO_0000927,asymptomatic neurosyphilis,,14
http://purl.obolibrary.org/obo/MONDO_0000931,endometrial disorder,70,16
http://purl.obolibrary.org/obo/MONDO_0000940,trypanosomiasis,,1949
http://purl.obolibrary.org/obo/MONDO_0000942,corneal disorder,574,9624
http://purl.obolibrary.org/obo/MONDO_0000947,psychosexual disorder,,14
